"X","baller","batter","balls","runsperball","extra","total_score","wickets","country","innings","toss_decision","toss_winner","margin","match_winner","batter_style","bowler_style"
183,"JN Gillespie","A Kumble",29.1,0,FALSE,84,0,"India",1,"bat","Australia","9  wickets","Australia","Right","Spin"
184,"JN Gillespie","A Kumble",29.2,0,FALSE,84,0,"India",1,"bat","Australia","9  wickets","Australia","Right","Spin"
185,"JN Gillespie","A Kumble",29.3,1,FALSE,85,0,"India",1,"bat","Australia","9  wickets","Australia","Right","Spin"
186,"JN Gillespie","Harbhajan Singh",29.4,0,FALSE,85,0,"India",1,"bat","Australia","9  wickets","Australia","Right","Spin"
187,"JN Gillespie","Harbhajan Singh",29.5,0,FALSE,85,0,"India",1,"bat","Australia","9  wickets","Australia","Right","Spin"
188,"JN Gillespie","Harbhajan Singh",29.6,1,FALSE,86,0,"India",1,"bat","Australia","9  wickets","Australia","Right","Spin"
189,"B Lee","Harbhajan Singh",30.1,0,FALSE,86,0,"India",1,"bat","Australia","9  wickets","Australia","Right","Fast"
190,"B Lee","Harbhajan Singh",30.2,4,FALSE,90,0,"India",1,"bat","Australia","9  wickets","Australia","Right","Fast"
191,"B Lee","Harbhajan Singh",30.3,6,FALSE,96,0,"India",1,"bat","Australia","9  wickets","Australia","Right","Fast"
192,"B Lee","Harbhajan Singh",30.4,0,FALSE,96,0,"India",1,"bat","Australia","9  wickets","Australia","Right","Fast"
193,"B Lee","Harbhajan Singh",30.5,0,FALSE,96,0,"India",1,"bat","Australia","9  wickets","Australia","Right","Fast"
194,"B Lee","Harbhajan Singh",30.6,0,FALSE,96,0,"India",1,"bat","Australia","9  wickets","Australia","Right","Fast"
195,"JN Gillespie","A Kumble",31.1,0,FALSE,96,0,"India",1,"bat","Australia","9  wickets","Australia","Right","Spin"
196,"JN Gillespie","A Kumble",31.2,0,FALSE,96,0,"India",1,"bat","Australia","9  wickets","Australia","Right","Spin"
197,"JN Gillespie","A Kumble",31.3,0,FALSE,96,0,"India",1,"bat","Australia","9  wickets","Australia","Right","Spin"
198,"JN Gillespie","A Kumble",31.4,0,FALSE,96,0,"India",1,"bat","Australia","9  wickets","Australia","Right","Spin"
199,"JN Gillespie","A Kumble",31.5,1,FALSE,97,0,"India",1,"bat","Australia","9  wickets","Australia","Right","Spin"
200,"JN Gillespie","Harbhajan Singh",31.6,0,FALSE,97,0,"India",1,"bat","Australia","9  wickets","Australia","Right","Spin"
201,"B Lee","A Kumble",32.1,0,FALSE,97,0,"India",1,"bat","Australia","9  wickets","Australia","Right","Fast"
202,"B Lee","A Kumble",32.2,0,TRUE,98,0,"India",1,"bat","Australia","9  wickets","Australia","Right","Fast"
203,"B Lee","A Kumble",32.2,0,FALSE,98,0,"India",1,"bat","Australia","9  wickets","Australia","Right","Fast"
204,"B Lee","A Kumble",32.3,0,FALSE,98,0,"India",1,"bat","Australia","9  wickets","Australia","Right","Fast"
205,"B Lee","A Kumble",32.4,4,FALSE,102,0,"India",1,"bat","Australia","9  wickets","Australia","Right","Fast"
206,"B Lee","A Kumble",32.5,0,FALSE,102,0,"India",1,"bat","Australia","9  wickets","Australia","Right","Fast"
207,"B Lee","A Kumble",32.6,0,FALSE,102,0,"India",1,"bat","Australia","9  wickets","Australia","Right","Fast"
208,"GB Hogg","Harbhajan Singh",33.1,0,FALSE,102,0,"India",1,"bat","Australia","9  wickets","Australia","Right","Spin"
209,"GB Hogg","Harbhajan Singh",33.2,0,FALSE,102,0,"India",1,"bat","Australia","9  wickets","Australia","Right","Spin"
210,"GB Hogg","Harbhajan Singh",33.3,1,FALSE,103,0,"India",1,"bat","Australia","9  wickets","Australia","Right","Spin"
211,"GB Hogg","A Kumble",33.4,1,FALSE,104,0,"India",1,"bat","Australia","9  wickets","Australia","Right","Spin"
212,"GB Hogg","Harbhajan Singh",33.5,0,FALSE,104,0,"India",1,"bat","Australia","9  wickets","Australia","Right","Spin"
213,"GB Hogg","Harbhajan Singh",33.6,0,FALSE,104,0,"India",1,"bat","Australia","9  wickets","Australia","Right","Spin"
214,"DS Lehmann","A Kumble",34.1,1,FALSE,105,0,"India",1,"bat","Australia","9  wickets","Australia","Right","Spin"
215,"DS Lehmann","Harbhajan Singh",34.2,0,FALSE,105,0,"India",1,"bat","Australia","9  wickets","Australia","Right","Spin"
216,"DS Lehmann","Harbhajan Singh",34.3,0,FALSE,105,0,"India",1,"bat","Australia","9  wickets","Australia","Right","Spin"
217,"DS Lehmann","Harbhajan Singh",34.4,0,FALSE,105,0,"India",1,"bat","Australia","9  wickets","Australia","Right","Spin"
