"","baller","batter","balls","runsperball","extra","total_score","wickets","country","innings","toss_decision","toss_winner","margin","match_winner"
"189","B Lee","Harbhajan Singh",30.1,0,FALSE,79,0,"India",1,"bat","Australia","9  wickets","Australia"
"190","B Lee","Harbhajan Singh",30.2,4,FALSE,83,0,"India",1,"bat","Australia","9  wickets","Australia"
"191","B Lee","Harbhajan Singh",30.3,6,FALSE,89,0,"India",1,"bat","Australia","9  wickets","Australia"
"192","B Lee","Harbhajan Singh",30.4,0,FALSE,89,0,"India",1,"bat","Australia","9  wickets","Australia"
"193","B Lee","Harbhajan Singh",30.5,0,FALSE,89,0,"India",1,"bat","Australia","9  wickets","Australia"
"194","B Lee","Harbhajan Singh",30.6,0,FALSE,89,0,"India",1,"bat","Australia","9  wickets","Australia"
"195","JN Gillespie","A Kumble",31.1,0,FALSE,89,0,"India",1,"bat","Australia","9  wickets","Australia"
"196","JN Gillespie","A Kumble",31.2,0,FALSE,89,0,"India",1,"bat","Australia","9  wickets","Australia"
"197","JN Gillespie","A Kumble",31.3,0,FALSE,89,0,"India",1,"bat","Australia","9  wickets","Australia"
"198","JN Gillespie","A Kumble",31.4,0,FALSE,89,0,"India",1,"bat","Australia","9  wickets","Australia"
"199","JN Gillespie","A Kumble",31.5,1,FALSE,90,0,"India",1,"bat","Australia","9  wickets","Australia"
"200","JN Gillespie","Harbhajan Singh",31.6,0,FALSE,90,0,"India",1,"bat","Australia","9  wickets","Australia"
"201","B Lee","A Kumble",32.1,0,FALSE,90,0,"India",1,"bat","Australia","9  wickets","Australia"
"202","B Lee","A Kumble",32.2,0,TRUE,91,0,"India",1,"bat","Australia","9  wickets","Australia"
"203","B Lee","A Kumble",32.2,0,FALSE,91,0,"India",1,"bat","Australia","9  wickets","Australia"
"204","B Lee","A Kumble",32.3,0,FALSE,91,0,"India",1,"bat","Australia","9  wickets","Australia"
"205","B Lee","A Kumble",32.4,4,FALSE,95,0,"India",1,"bat","Australia","9  wickets","Australia"
"206","B Lee","A Kumble",32.5,0,FALSE,95,0,"India",1,"bat","Australia","9  wickets","Australia"
"207","B Lee","A Kumble",32.6,0,FALSE,95,0,"India",1,"bat","Australia","9  wickets","Australia"
"208","GB Hogg","Harbhajan Singh",33.1,0,FALSE,95,0,"India",1,"bat","Australia","9  wickets","Australia"
"209","GB Hogg","Harbhajan Singh",33.2,0,FALSE,95,0,"India",1,"bat","Australia","9  wickets","Australia"
"210","GB Hogg","Harbhajan Singh",33.3,1,FALSE,96,0,"India",1,"bat","Australia","9  wickets","Australia"
"211","GB Hogg","A Kumble",33.4,1,FALSE,97,0,"India",1,"bat","Australia","9  wickets","Australia"
"212","GB Hogg","Harbhajan Singh",33.5,0,FALSE,97,0,"India",1,"bat","Australia","9  wickets","Australia"
"213","GB Hogg","Harbhajan Singh",33.6,0,FALSE,97,0,"India",1,"bat","Australia","9  wickets","Australia"
"214","DS Lehmann","A Kumble",34.1,1,FALSE,98,0,"India",1,"bat","Australia","9  wickets","Australia"
"215","DS Lehmann","Harbhajan Singh",34.2,0,FALSE,98,0,"India",1,"bat","Australia","9  wickets","Australia"
"216","DS Lehmann","Harbhajan Singh",34.3,0,FALSE,98,0,"India",1,"bat","Australia","9  wickets","Australia"
"217","DS Lehmann","Harbhajan Singh",34.4,0,FALSE,98,0,"India",1,"bat","Australia","9  wickets","Australia"
"218","DS Lehmann","Harbhajan Singh",34.5,1,FALSE,99,0,"India",1,"bat","Australia","9  wickets","Australia"
"219","DS Lehmann","A Kumble",34.6,0,FALSE,99,0,"India",1,"bat","Australia","9  wickets","Australia"
"220","GB Hogg","Harbhajan Singh",35.1,4,FALSE,103,0,"India",1,"bat","Australia","9  wickets","Australia"
"221","GB Hogg","Harbhajan Singh",35.2,4,FALSE,107,0,"India",1,"bat","Australia","9  wickets","Australia"
"222","GB Hogg","Harbhajan Singh",35.3,0,FALSE,107,0,"India",1,"bat","Australia","9  wickets","Australia"
"223","GB Hogg","Harbhajan Singh",35.4,2,FALSE,109,0,"India",1,"bat","Australia","9  wickets","Australia"
"224","GB Hogg","Harbhajan Singh",35.5,0,FALSE,109,0,"India",1,"bat","Australia","9  wickets","Australia"
